"Дата";"Регион название";"БольныеНаНаселение"
20.04.2020;Астраханская область;0.015233205636482644
20.04.2020;Белгородская область;0.009982365409509258
20.04.2020;Брянская область;0.031344101611041994
20.04.2020;Владимирская область;0.024263193357544014
20.04.2020;Волгоградская область;0.005445088688652662
20.04.2020;Вологодская область;0.008413438045226903
20.04.2020;Воронежская область;0.009463543199544379
20.04.2020;Еврейская автономная область;0.03421221093767911
20.04.2020;Забайкальский край;0.005499596385553399
20.04.2020;Ивановская область;0.020415283472546796
20.04.2020;Иркутская область;0.002275784023936732
20.04.2020;Кабардино-Балкарская Республика;0.023808753833654855
20.04.2020;Калининградская область;0.013257317055129038
20.04.2020;Калужская область;0.036583858050114236
20.04.2020;Камчатский край;0.021685011401607772
20.04.2020;Карачаево-Черкесская Республика;0.03713081719965627
20.04.2020;Кемеровская область (Кузбасс);0.00208331798233675
20.04.2020;Кировская область;0.017689625774797817
20.04.2020;Костромская область;0.014811465806609778
20.04.2020;Краснодарский край;0.008364789462761773
20.04.2020;Красноярский край;0.013036690113008982
20.04.2020;Курганская область;0.0019936611712015983
20.04.2020;Курская область;0.025965012689807512
20.04.2020;Ленинградская область;0.029850247843693705
20.04.2020;Липецкая область;0.01509053013963895
20.04.2020;Магаданская область;0.05086071599594304
20.04.2020;Москва;0.2523745541678342
20.04.2020;Московская область;0.09254680197194809
20.04.2020;Мурманская область;0.07617207457431886
20.04.2020;Ненецкий автономный округ;0.001948184778832323
20.04.2020;Нижегородская область;0.02976161034027603
20.04.2020;Новгородская область;0.024144165874423956
20.04.2020;Новосибирская область;0.005931786605462376
20.04.2020;Омская область;0.0016107206065172088
20.04.2020;Оренбургская область;0.01246023559596765
20.04.2020;Орловская область;0.03318849055265528
20.04.2020;Пензенская область;0.014471787791453921
20.04.2020;Пермский край;0.009873730615655696
20.04.2020;Приморский край;0.008707172342794655
20.04.2020;Псковская область;0.009336100050675273
20.04.2020;Республика Адыгея;0.01874823546019198
20.04.2020;Республика Алтай;0.004389295098860683
20.04.2020;Республика Башкортостан;0.009074272658021111
20.04.2020;Республика Бурятия;0.01020085823607572
20.04.2020;Республика Дагестан;0.015503192841767887
20.04.2020;Республика Ингушетия;0.07669113465119146
20.04.2020;Республика Калмыкия;0.03055151976953054
20.04.2020;Республика Карелия;0.005324290607125186
20.04.2020;Республика Коми;0.060107599058189694
20.04.2020;Республика Крым;0.001403391744040456
20.04.2020;Республика Марий Эл;0.04587203022571091
20.04.2020;Республика Мордовия;0.04705972539266124
20.04.2020;Республика Саха (Якутия);0.01146614007356699
20.04.2020;Республика Северная Осетия — Алания;0.03173630570266196
20.04.2020;Республика Татарстан;0.009167282098583463
20.04.2020;Республика Тыва;0.0052840651245485235
20.04.2020;Республика Хакасия;0.019029440085302923
20.04.2020;Ростовская область;0.010621746540079458
20.04.2020;Рязанская область;0.03643164518940507
20.04.2020;Самарская область;0.00424073830359195
20.04.2020;Санкт-Петербург;0.03886978661522822
20.04.2020;Саратовская область;0.007969537111419813
20.04.2020;Сахалинская область;0.0020400627523302615
20.04.2020;Свердловская область;0.0047990553292436
20.04.2020;Севастополь;0.004252966444094756
20.04.2020;Смоленская область;0.02478392689358531
20.04.2020;Ставропольский край;0.010048601566214828
20.04.2020;Тамбовская область;0.02492099367728267
20.04.2020;Тверская область;0.02848523847096136
20.04.2020;Томская область;0.004358793634306488
20.04.2020;Тульская область;0.028162445890710368
20.04.2020;Тюменская область;0.019511120147037785
20.04.2020;Удмуртская Республика;0.009205661850264387
20.04.2020;Ульяновская область;0.01822072656923429
20.04.2020;Хабаровский край;0.02158502251101675
20.04.2020;Ханты-Мансийский автономный округ - Югра;0.011031013028506797
20.04.2020;Челябинская область;0.0033208933432120366
20.04.2020;Чеченская Республика;0.022000489717181864
20.04.2020;Чувашская Республика;0.023404993769305205
20.04.2020;Чукотский автономный округ;0.015053439710973959
20.04.2020;Ямало-Ненецкий автономный округ;0.03780012302945306
20.04.2020;Ярославская область;0.019097522423787115
27.04.2020;Алтайский край;0.01444327731092437
27.04.2020;Амурская область;0.0057971346409569705
27.04.2020;Архангельская область;0.014298173755470624
27.04.2020;Астраханская область;0.029230907037010936
27.04.2020;Белгородская область;0.020149077363977135
27.04.2020;Брянская область;0.0563887112159506
27.04.2020;Владимирская область;0.04664005557836312
